,EADDC,EAFXA,FDDBC,AFDDA,AXCXA,EXCCE,FBXFC,DFFEC,CEXAE,BBADX,Predictions,Actual
2233,2.9676664009446725,-2.7382323590015227,3.063136747378474,-1.5371096712714276,2.436297312410996,1.272984784360473,2.6336578615578765,-3.4918881031096363,1.9539913380015224,0.1304237451163303,0,0
7278,-3.569042121525896,-0.8490752496660617,-2.614987334023591,2.68175415828966,-0.875770383837509,2.0764547407789955,-0.4814467858279625,-1.1056942774099654,-0.4756444862008495,0.8717232181749859,1,0
6779,1.7902034339573074,2.1244775850569964,3.192477926505377,2.0247825917047413,3.048036793095326,-0.4442749387742848,0.5387154079887582,2.7906276963140293,0.0352439215560542,2.342707345158152,1,1
5937,-2.264699632028069,-2.5725010448292744,-0.547877132276045,0.3009341561023533,-3.90669338850374,2.9185884430744053,-0.6703533164481228,-1.886786496630358,-2.896183337396198,-1.9051912089088945,0,0
5290,-1.8531386358576816,-4.7967084233459065,3.9232960440431937,0.2582423438495049,-2.8776408723430587,-0.541610429637146,-2.354727030447404,-1.5903788924593258,-3.195492107326536,3.01344351778852,0,0
3142,1.6137949138848602,0.988797674598858,0.5721284747173155,-1.0857347604449925,1.3354390054802625,3.829616753025598,2.4909637334736736,1.3072146608424902,0.8661118789255,-2.01134293420489,0,1
8356,-0.7315576585431751,-3.2707619463016084,-0.9529814211440032,-0.2475968450906516,2.04292782267364,-0.158139621986564,-2.484035913505912,4.101236760823783,-2.5368761036676544,1.9289446140954751,1,1
4001,-3.6740657480751193,-2.084641686180832,0.4304311975138357,-1.2731311330171589,3.525057807752273,1.4040708088750582,-2.801983972409508,0.4124571262630445,-1.8233745131669727,2.9797283482087686,1,0
1210,1.3459737884436662,-1.5080192308393718,-0.8690437824008801,-1.690231945898568,1.0200038691618918,0.1326983425573535,1.5256324872203932,-0.0466564897854837,0.0090305943467678,-0.6100998002287001,0,0
2076,-0.6946650067386817,1.616032307331427,-0.0909542314132223,-0.4985120780142171,-0.9938028313209418,1.7690458406241931,1.0923203992212138,-1.1855275573059243,2.744955230383204,0.6536001453405761,1,1
9316,-1.0958793511857314,1.1680039315817357,-3.380192817893304,3.700183746705001,-1.44632621186792,1.1673381847878728,2.0153204321993385,-0.9973116581950894,0.0202791685216467,4.463204496251962,1,1
3956,-3.1139323290599914,1.6219909955699865,-0.592416718593512,2.8229100907459643,-0.0058447598593529,1.0890600505010046,-1.1101892050619853,-0.6975676819152117,0.5695467408090487,0.5777946863402975,1,1
