,CEACC,CCDEF,FAXAE,FBFFD,EDDAB,y_by_maximization_score,y_by_maximization_cluster,Dates,To_Report,Normalized_Again,True_Anomalies
274,8.046031942673213,5.295154837413914,0.4900669694725676,5.972949916037678,9.221122532072329,-0.9630897811920125,0,2016-10-01,,,0
275,8.769270012684467,4.18470042827269,0.8158829960427214,5.476940817979504,8.813724627896834,-0.9516694256324904,0,2016-10-02,,,0
276,8.311614263301397,4.632986786182898,0.679195294341219,5.056123152064589,8.55276653220634,-0.8578099845643731,0,2016-10-03,0.0,,0
277,7.850020307355481,3.950757575111376,0.8004833932587436,5.045619549816772,8.481428023158182,-0.6403636491187055,0,2016-10-04,0.0,,0
278,8.176031169637707,3.795881075835846,0.7910723060446125,5.016190607807185,8.465436445387185,-0.6285949934259419,0,2016-10-05,0.0,,0
279,7.727202460753731,3.8797690517972656,1.1352622784398363,4.745998582085923,8.417944186375804,-0.5751487805237177,0,2016-10-06,0.0,,0
280,6.501170036207412,3.8109293764357473,1.3690536497290964,4.59094582388958,8.444652181100885,-0.41374661823337466,0,2016-10-07,0.0,,0
281,5.526938848786437,3.09624967407443,1.728409620550674,4.756870545279468,8.639479340123417,-0.24699218032024692,0,2016-10-08,0.0,,0
282,4.923780174944222,2.9072092647358048,1.2907408800317537,4.73991589918386,8.35900469346571,0.025659436769055615,1,2016-10-09,1.0,,0
283,4.001472262677617,2.3139992170677206,1.2718636013398117,4.939052341152981,8.683395567796289,0.12175537553863465,1,2016-10-10,2.0,,0
284,4.976270982164346,2.239977070757607,1.3435331863925786,4.747323136921717,8.331944283057675,0.2010280230099836,1,2016-10-11,3.0,,0
285,4.5873376383196245,2.509114390364493,0.9675365901858556,4.734375279124072,8.00289772580068,0.39585919299553285,1,2016-10-12,3.0,,0
286,2.99710045470412,2.0950474444067604,0.7227631346908021,4.362799709099424,8.189297403615669,0.6541475974047397,1,2016-10-13,3.0,,0
287,2.907086287533597,1.4144048525377553,0.435339633790095,4.136097583808006,7.698845990725564,1.1861861728167333,1,2016-10-14,3.0,,0
288,2.8586386981775203,1.4853906602868228,0.0469546321459946,4.029544931130084,7.716063892906837,1.2363942554465,1,2016-10-15,3.0,7.0,1
289,3.1326889069804063,1.386640983633381,-0.4146788478571559,4.128382949547088,7.831004850809097,1.2126834169480987,1,2016-10-16,3.0,8.0,1
290,3.6316241497356607,1.7815918899284224,-0.0348211040473009,4.608363360391833,8.026425292023053,0.7937991521505537,1,2016-10-17,3.0,9.0,1
291,5.167067494662626,1.7306062227423618,-0.313473531693095,4.932397867666104,7.528802467585077,0.9896135198833543,1,2016-10-18,3.0,10.0,1
292,5.474720768205314,2.7733987987270194,-0.2104553838512566,4.877584911433778,7.366826199413448,0.8426401195004662,1,2016-10-19,3.0,11.0,1
293,6.705422024632835,2.8596599756767853,0.1184678668895129,4.596104579926721,7.011470351962077,0.9804993755682013,1,2016-10-20,3.0,12.0,1
294,4.551569505288981,3.2503058225496617,0.4323072745331666,4.144623164287175,7.118914904595716,1.0580911181007306,1,2016-10-21,3.0,13.0,1
295,5.715929686999287,2.2769205688054117,0.2292468722979386,4.120062376032035,7.038274009612541,1.2107976605373625,1,2016-10-22,3.0,14.0,1
296,5.560216227993167,2.92283120082597,0.4742912014343803,4.362672093687112,6.89158086594387,1.1564217550909461,1,2016-10-23,3.0,15.0,0
297,5.947160685209528,2.66959944479032,0.9484729254892684,3.9829496001757327,7.305624924350996,0.880147221220776,1,2016-10-24,3.0,15.0,0
298,6.195454985083295,2.88449487703265,0.6192063176922051,3.9485254786332176,7.228062649920448,0.9120313113931777,1,2016-10-25,3.0,15.0,0
299,9.534870638170128,3.034402241246525,0.69481545456863,3.853259578986124,7.113043250913686,0.8906893208813917,1,2016-10-26,3.0,15.0,0
300,9.145213551776978,4.694398219770222,0.8330506992418352,4.097520593367336,7.475146011495554,0.22841698996231583,1,2016-10-27,3.0,15.0,0
301,9.50488149581717,4.561755343430765,1.0677394982777857,3.834387115925241,7.52781632358115,0.3044739400821466,1,2016-10-28,3.0,15.0,0
302,10.537628645617623,4.915639525818359,0.8153885059952279,3.609061399280352,7.548380845237734,0.3962005573439978,1,2016-10-29,3.0,15.0,0
303,9.97155545112745,5.05543305885146,0.5882702968720976,3.645798834126812,7.867297701946382,-0.003588930135754805,0,2016-10-30,2.0,14.0,0
304,10.70022393253486,5.024385034773937,0.2175759866052815,4.056526595187418,7.441261580276901,0.30412606826487515,1,2016-10-31,2.0,14.0,0
305,9.742073845478478,5.487596848669396,0.6083776031297852,3.7184030907939145,7.62600098349304,0.24444169957613093,1,2016-11-01,2.0,14.0,0
306,9.856524397859095,4.788486345814081,0.1904850370610602,3.646728146843777,7.840708887404329,0.077114761205218,1,2016-11-02,3.0,14.0,1
307,10.448010503443104,4.915741932613381,0.2976658100441214,3.6285727477464857,7.515283019634282,0.4199051066342962,1,2016-11-03,3.0,14.0,1
308,10.713281388843882,5.443671339379421,-0.1225231027378099,4.120657669051951,7.988277704045082,-0.27449548311730415,0,2016-11-04,2.0,13.0,0
309,10.599127103838152,5.126537444378525,0.0215171792598272,4.463461476207062,8.042591715442171,-0.44018621496716387,0,2016-11-05,1.0,12.0,0
310,9.55170928752645,5.371358278718717,-0.1877748381474786,4.919606703942482,8.432520529762991,-0.7452963549850213,0,2016-11-06,0.0,11.0,0
311,10.327973421974072,4.767403100679328,-0.3641995752284783,4.503501963694478,8.43664173889043,-0.6113077395234076,0,2016-11-07,0.0,10.0,0
312,10.788586186078192,5.1591568129593215,-0.0540539061500759,4.935318253936292,8.368829576570082,-0.7845742683804791,0,2016-11-08,0.0,9.0,0
