,CEACC,CCDEF,FAXAE,FBFFD,EDDAB,Anomaly_Pred,Dates,To_Report,Normalized_Again,True_Anomalies
274,8.046031942673213,5.295154837413914,0.4900669694725676,5.972949916037678,9.221122532072329,0,2016-10-01,,,0
275,8.769270012684467,4.18470042827269,0.8158829960427214,5.476940817979504,8.813724627896834,0,2016-10-02,,,0
276,8.311614263301397,4.632986786182898,0.679195294341219,5.056123152064589,8.55276653220634,0,2016-10-03,0.0,,0
277,7.850020307355481,3.950757575111376,0.8004833932587436,5.045619549816772,8.481428023158182,0,2016-10-04,0.0,,0
278,8.176031169637707,3.795881075835846,0.7910723060446125,5.016190607807185,8.465436445387185,0,2016-10-05,0.0,,0
279,7.727202460753731,3.8797690517972656,1.1352622784398363,4.745998582085923,8.417944186375804,0,2016-10-06,0.0,,0
280,6.501170036207412,3.8109293764357473,1.3690536497290964,4.59094582388958,8.444652181100885,0,2016-10-07,0.0,,0
281,5.526938848786437,3.09624967407443,1.728409620550674,4.756870545279468,8.639479340123417,0,2016-10-08,0.0,,0
282,4.923780174944222,2.9072092647358048,1.2907408800317537,4.73991589918386,8.35900469346571,0,2016-10-09,0.0,,0
283,4.001472262677617,2.3139992170677206,1.2718636013398117,4.939052341152981,8.683395567796289,0,2016-10-10,0.0,,0
284,4.976270982164346,2.239977070757607,1.3435331863925786,4.747323136921717,8.331944283057675,0,2016-10-11,0.0,,0
285,4.5873376383196245,2.509114390364493,0.9675365901858556,4.734375279124072,8.00289772580068,0,2016-10-12,0.0,,0
286,2.99710045470412,2.0950474444067604,0.7227631346908021,4.362799709099424,8.189297403615669,0,2016-10-13,0.0,,0
287,2.907086287533597,1.4144048525377553,0.435339633790095,4.136097583808006,7.698845990725564,1,2016-10-14,1.0,,0
288,2.8586386981775203,1.4853906602868228,0.0469546321459946,4.029544931130084,7.716063892906837,1,2016-10-15,2.0,2.0,0
289,3.1326889069804063,1.386640983633381,-0.4146788478571559,4.128382949547088,7.831004850809097,1,2016-10-16,3.0,3.0,1
290,3.6316241497356607,1.7815918899284224,-0.0348211040473009,4.608363360391833,8.026425292023053,0,2016-10-17,2.0,3.0,0
291,5.167067494662626,1.7306062227423618,-0.313473531693095,4.932397867666104,7.528802467585077,0,2016-10-18,1.0,3.0,0
292,5.474720768205314,2.7733987987270194,-0.2104553838512566,4.877584911433778,7.366826199413448,0,2016-10-19,0.0,3.0,0
293,6.705422024632835,2.8596599756767853,0.1184678668895129,4.596104579926721,7.011470351962077,0,2016-10-20,0.0,3.0,0
294,4.551569505288981,3.2503058225496617,0.4323072745331666,4.144623164287175,7.118914904595716,0,2016-10-21,0.0,3.0,0
295,5.715929686999287,2.2769205688054117,0.2292468722979386,4.120062376032035,7.038274009612541,0,2016-10-22,0.0,3.0,0
296,5.560216227993167,2.92283120082597,0.4742912014343803,4.362672093687112,6.89158086594387,0,2016-10-23,0.0,3.0,0
297,5.947160685209528,2.66959944479032,0.9484729254892684,3.9829496001757327,7.305624924350996,0,2016-10-24,0.0,3.0,0
298,6.195454985083295,2.88449487703265,0.6192063176922051,3.9485254786332176,7.228062649920448,0,2016-10-25,0.0,3.0,0
